S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
582,25789,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
583,25790,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
584,25791,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
585,25792,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
586,25793,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
587,25794,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
588,25795,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri Yadav,2600.0
589,25796,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
590,25797,2022-06-16,Tata Ace,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
591,25565,2022-06-16,14 FT,Honeywell Automation (I) Ltd.,DELHI,KHARAGPUR,54000.0,,,Gulshan Transport,49000.0
592,25567,2022-06-27,22FT 12TON,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,19900.0,182,2022-07-14 00:00:00,Tera Tera (13-13) Transport Co.,16500.0
593,24955,2022-06-01,Tata Ace,Ariston_Rithala,Rithala,Noida,3300.0,264,2022-08-13 00:00:00,(Shyam Kant Jha) Rama Tpt.,2200.0
594,24904,2022-06-01,Tata Ace,Ariston_Rithala,Noida,Rithala,1650.0,163,2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
595,24956,2022-06-01,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
596,24957,2022-06-01,22 FT,Ariston_Rithala,Rithala,Hisar ,16000.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,13000.0
597,24958,2022-06-01,14 FT,Ariston_Rithala,Rithala,Zirakpur,9800.0,"0146, 0147",2022-06-23 00:00:00,Jai shree Durga,8000.0
598,24959,2022-06-01,14 FT,Ariston_Rithala,Rithala,Ambala,1200.0,"0146, 0147",2022-06-23 00:00:00,Jai shree Durga,1000.0
599,24960,2022-06-02,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0163, 0164",2022-07-06 00:00:00,Mainpal Tempo,3500.0
600,24961,2022-06-02,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
601,24962,2022-06-02,Champion,Ariston_Rithala,Rithala,Faridabad,2800.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,2100.0
602,24906,2022-06-02,Champion,Ariston_Rithala,Faridabad,Rithala,1400.0,205,2022-07-22 00:00:00,(Shyam Kant Jha) Rama Tpt.,1050.0
603,24963,2022-06-02,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
604,24964,2022-06-02,17FT,Ariston_Rithala,Rithala,Farrukh Nagar,6300.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,4000.0
605,24965,2022-06-02,Tata Ace,Ariston_Rithala,Rithala,Mandoli,1475.0,"0146, 0147",2022-06-23 00:00:00,Jai shree Durga,1100.0
606,24966,2022-06-02,Tata 407,Ariston_Rithala,Rithala,Haldwani,13000.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,10000.0
607,24967,2022-06-02,19/20FT,Ariston_Rithala,Rithala,Jaipur,12900.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,11500.0
608,24968,2022-06-02,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sunny Tempo,1100.0
609,24969,2022-06-03,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
610,24970,2022-06-03,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
611,24971,2022-06-04,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
612,24972,2022-06-04,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
613,24973,2022-06-04,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
614,24974,2022-06-04,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
615,24975,2022-06-04,22 FT,Ariston_Rithala,Rithala,Farrukh Nagar,9500.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,5000.0
616,24976,2022-06-04,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
617,24977,2022-06-04,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
618,24978,2022-06-06,Tata 407,Ariston_Rithala,Rithala,Noida,4250.0,"0146, 0147",2022-06-23 00:00:00,Arun Tempo,3000.0
619,24979,2022-06-06,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1475.0,"0163, 0164",2022-07-06 00:00:00,Sunny Tempo,1100.0
620,24980,2022-06-06,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0163, 0164",2022-07-06 00:00:00,Jai kedar Express,9000.0
621,24981,2022-06-06,14 FT,Ariston_Rithala,Rithala,Amritsar,18000.0,"0163, 0164",2022-07-06 00:00:00,Jai kedar Express,14000.0
622,24982,2022-06-06,14 FT,Ariston_Rithala,Rithala,Bhatinda,1200.0,"0163, 0164",2022-07-06 00:00:00,Jai kedar Express,1000.0
623,24983,2022-06-06,14 FT,Ariston_Rithala,Rithala,Dahradun,13230.0,"0194, 0195",2022-07-19 00:00:00,New Haryana Roadlines India,9500.0
624,24984,2022-06-06,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1475.0,"0163, 0164",2022-07-06 00:00:00,Sunny Tempo,1100.0
625,24985,2022-06-06,22 FT,Ariston_Rithala,Rithala,Farrukh Nagar,9500.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,5000.0
626,24986,2022-06-07,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
627,24987,2022-06-07,Champion,Ariston_Rithala,Rithala,Shakarpur,300.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,550.0
628,24988,2022-06-07,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0146, 0147",2022-06-23 00:00:00,Arun Tempo,9500.0
629,24989,2022-06-08,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Arun Tempo,1100.0
630,24990,2022-06-08,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0163, 0164",2022-07-06 00:00:00,Jai kedar Express,9000.0
631,24991,2022-06-09,Champion,Ariston_Rithala,Rithala,Tikri kalan,1350.0,"0163, 0164",2022-07-06 00:00:00,Arun Tempo,1100.0
632,24910,2022-06-09,Champion,Infiniti Retail,Tikri kalan,Rithala,675.0,163,2022-07-06 00:00:00,Arun Tempo,550.0
633,24992,2022-06-09,Tata 407,Ariston_Rithala,Rithala,Mehrauli,2800.0,"0146, 0147",2022-06-23 00:00:00,Arun Tempo,2500.0
634,24993,2022-06-09,14 FT,Ariston_Rithala,Rithala,Zirakpur,9800.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,8000.0
635,24994,2022-06-09,14 FT,Ariston_Rithala,Rithala,Ambala,1200.0,"0146, 0147",2022-06-23 00:00:00,Jai kedar Express,1000.0
636,24995,2022-06-09,19/20FT,Ariston_Rithala,Rithala,"G, Noida",8250.0,"0163, 0164",2022-07-06 00:00:00,Jai shree Durga,5500.0
637,24996,2022-06-09,Champion,Ariston_Rithala,Rithala,Ghaziabad,3000.0,"0146, 0147",2022-06-23 00:00:00,Sunny Tempo,2200.0
638,24997,2022-06-09,14 FT,Ariston_Rithala,Rithala,Farrukh Nagar,5250.0,"0146, 0147",2022-06-23 00:00:00,Arun Tempo,3500.0
639,24998,2022-06-10,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0146, 0147",2022-06-23 00:00:00,Sant Kumar,1100.0
640,24999,2022-06-10,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0163, 0164",2022-07-06 00:00:00,(Shyam Kant Jha) Rama Tpt.,1100.0
